,measSetComments,probeId,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,groupIndex,zt_est,probeName,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,isDuplicate
27,Beamstyle_BPXCC_Intensity,11712408,0,15,6666700,2.0,90,90,56.04,20,10,28,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,4,2.2,BPXCC,B,0,0,25,1
28,Beamstyle_BPXCC_Intensity,11712408,0,15,6666700,3.0,90,90,56.04,20,10,39,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,4,2.3,BPXCC,B,0,0,25,1
29,Beamstyle_BPXCC_Intensity,11712408,0,15,6666700,4.0,90,90,56.04,20,10,42,2,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,4,2.2,BPXCC,B,0,0,25,1
30,Beamstyle_BPXCC_Intensity,11712408,0,15,6666700,6.0,90,90,56.04,20,10,44,2,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,4,2.3,BPXCC,B,0,0,25,1
31,Beamstyle_BPXCC_Intensity,11712408,0,15,6666700,8.0,90,90,56.04,20,10,46,2,1.5,0,0.5,115.0,0,2024-09-30,0,1,0,,,0,4,2.4,BPXCC,B,0,0,25,1
32,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,0.5,90,90,56.04,20,10,7,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,5,2.6,BPXCC,B,0,0,27,1
33,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,1.0,90,90,56.04,20,10,14,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,5,2.4,BPXCC,B,0,0,27,1
34,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,1.5,90,90,56.04,20,10,21,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,5,2.4,BPXCC,B,0,0,27,1
35,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,2.0,90,90,56.04,20,10,28,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,5,2.4,BPXCC,B,0,0,27,1
36,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,3.0,90,90,56.04,20,10,39,2,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,5,2.3,BPXCC,B,0,0,27,1
37,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,4.0,90,90,56.04,20,10,42,2,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,5,2.4,BPXCC,B,0,0,27,1
38,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,6.0,90,90,56.04,20,10,44,2,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,5,2.5,BPXCC,B,0,0,27,1
39,Beamstyle_BPXCC_Intensity,11712408,0,15,8000000,8.0,90,90,56.04,20,10,46,2,1.5,0,0.5,115.0,0,2024-09-30,0,1,0,,,0,5,2.4,BPXCC,B,0,0,27,1
40,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,0.5,90,90,56.04,20,10,7,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
41,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,1.0,90,90,56.04,20,10,14,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
42,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,1.5,90,90,56.04,20,10,21,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
43,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,2.0,90,90,56.04,20,10,28,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
44,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,3.0,90,90,56.04,20,10,39,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,6,1.6,BPXCC,B,1,1,14,1
45,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,4.0,90,90,56.04,20,10,42,1,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
46,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,6.0,90,90,56.04,20,10,44,1,1.5,0,0.5,75.0,0,2024-09-30,0,1,0,,,0,6,1.7,BPXCC,B,1,1,14,1
47,Beamstyle_BPXCC_Intensity,11712408,1,20,3333300,8.0,90,90,56.04,20,10,46,1,1.5,0,0.5,115.0,0,2024-09-30,0,1,0,,,0,6,1.8,BPXCC,B,1,1,14,1
48,Beamstyle_BPXCC_Intensity,11712408,1,20,3636400,0.5,90,90,56.04,20,10,7,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,7,1.7,BPXCC,B,1,1,15,1
49,Beamstyle_BPXCC_Intensity,11712408,1,20,3636400,1.0,90,90,56.04,20,10,14,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,7,1.8,BPXCC,B,1,1,15,1
50,Beamstyle_BPXCC_Intensity,11712408,1,20,3636400,1.5,90,90,56.04,20,10,21,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,7,1.8,BPXCC,B,1,1,15,1
51,Beamstyle_BPXCC_Intensity,11712408,1,20,3636400,2.0,90,90,56.04,20,10,28,1,1.5,0,0.5,45.0,0,2024-09-30,0,1,0,,,0,7,1.8,BPXCC,B,1,1,15,1
