ProbeName	Mode	ExamName	SubModeIndex	BeamStyleIndex	SysTxFreqIndex	TxpgWaveformStyle	TxFocusLocCm	NumTxElements	ProbeNumTxCycles	IsTxChannelModulationEn	IsPresetCpaEn	CpaDelayOffsetClk	TxPulseRle	TxpgWaveformLut	ElevAperIndex	SystemPulserSel	VTxIndex
0.5k-L	B	Breast	1	1	16	1	1.5	14	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	16	1	2	17	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	16	1	3	22	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	16	1	4	27	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	16	1	5	33	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	16	1	7	47	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	0.5	8	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	1	11	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	1.5	14	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	2	17	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	3	22	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	4	27	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	5	33	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	7	47	1	0	0	0	1.25:0.25:-1.25:0.25	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	0.5	8	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	1	11	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	1.5	14	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	2	17	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	3	22	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	4	27	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	5	33	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	0	7	47	1	0	0	0	1.33:0.17:-1.33:0.17	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	0.5	8	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	1	11	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	1.5	14	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	2	17	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	3	22	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	4	27	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	5	33	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	7	47	1	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	0.5	8	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	1	11	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	1.5	14	1.5	0	0	0	null	null	0	null	1
0.5k-L	B	Breast	1	1	17	1	2	17	1.5	0	0	0	null	null	0	null	1
