TxFrequencyHz,TxFocusLocCm,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,ElevAperIndex,IsTxChannelModulationEn,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1
5333300,0.5,7,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,1.0,14,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,1.5,21,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,2.0,28,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,3.0,44,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,4.0,48,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,6.0,51,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,8.0,53,2,2.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,0.5,7,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,1.0,14,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,1.5,21,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,2.0,28,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,3.0,37,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,4.0,48,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,6.0,51,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5714300,8.0,53,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
6153800,0.5,7,2,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
