TxFrequencyHz,TxFocusLocCm,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,ElevAperIndex,IsTxChannelModulationEn,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1
3809500,0.5,10,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,1.0,21,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,1.5,32,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,2.0,44,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,3.0,57,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,4.0,60,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,6.0,64,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
3809500,8.0,66,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,0.5,7,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,1.0,14,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,1.5,21,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,2.0,24,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,3.0,37,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,4.0,42,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,6.0,44,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,8.0,46,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,0.5,10,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,1.0,21,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,1.5,32,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,2.0,44,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,3.0,57,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,4.0,60,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,6.0,64,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4000000,8.0,66,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,0.5,7,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,1.0,14,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,1.5,21,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,2.0,28,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,3.0,39,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,4.0,42,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,6.0,44,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,8.0,46,1,1.5,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,0.5,10,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,1.0,21,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,1.5,32,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,2.0,44,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,3.0,57,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,4.0,60,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,6.0,64,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
4210500,8.0,66,1,1.5,0,1,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,0.5,5,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,1.0,10,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,1.5,16,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,2.0,21,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,3.0,28,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,4.0,29,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,6.0,32,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
5333300,8.0,33,1,4.0,0,0,0.015599999576807022,4.4710001945495605,1.2000000476837158,0,6.0,0
