GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,0.5,93.0,93.0,57.71,20,10,15.0,2,1.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,1.0,93.0,93.0,57.71,20,10,30.0,2,1.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,1.5,93.0,93.0,57.71,20,10,36.0,2,1.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,2.0,93.0,93.0,57.71,20,10,40.0,2,1.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,3.0,93.0,93.0,57.71,20,10,45.0,2,1.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2999999523162842
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,4.0,93.0,93.0,57.71,20,10,48.0,2,1.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.399999976158142
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,6.0,93.0,93.0,57.71,20,10,51.0,2,1.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.5
1,Beamstyle_11L4_Intensity,10136142,0,15,4444400,8.0,93.0,93.0,57.71,20,10,53.0,2,1.0,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,0,1.5
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,0.5,93.0,93.0,57.71,20,10,15.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.100000023841858
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,1.0,93.0,93.0,57.71,20,10,30.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,1.5,93.0,93.0,57.71,20,10,36.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,2.0,93.0,93.0,57.71,20,10,40.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,3.0,93.0,93.0,57.71,20,10,45.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2999999523162842
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,4.0,93.0,93.0,57.71,20,10,48.0,2,1.5,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.399999976158142
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,6.0,93.0,93.0,57.71,20,10,51.0,2,1.5,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.5
2,Beamstyle_11L4_Intensity,10136142,0,15,5714300,8.0,93.0,93.0,57.71,20,10,53.0,2,1.5,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,0,1.5
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,0.5,93.0,93.0,57.71,20,10,15.0,1,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2999999523162842
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,1.0,93.0,93.0,57.71,20,10,30.0,1,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2999999523162842
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,1.5,93.0,93.0,57.71,20,10,36.0,1,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2000000476837158
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,2.0,93.0,93.0,57.71,20,10,40.0,1,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.2999999523162842
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,3.0,93.0,93.0,57.71,20,10,45.0,1,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,0,1.399999976158142
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,4.0,93.0,93.0,57.71,20,10,48.0,1,1.5,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.5
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,6.0,93.0,93.0,57.71,20,10,51.0,1,1.5,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,0,1.600000023841858
3,Beamstyle_11L4_Intensity,10136142,1,20,2857100,8.0,93.0,93.0,57.71,20,10,53.0,1,1.5,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,0,1.600000023841858
