GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
4,Beamstyle_10MC3_Intensity,11268679,0,15,8888900,4.0,93.0,93.0,57.71,20,10,27.0,2,1.5,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.5
4,Beamstyle_10MC3_Intensity,11268679,0,15,8888900,5.0,93.0,93.0,57.71,20,10,33.0,2,1.5,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
4,Beamstyle_10MC3_Intensity,11268679,0,15,8888900,7.0,93.0,93.0,57.71,20,10,47.0,2,1.5,0,0.5,115.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,0.5,93.0,93.0,57.71,20,10,7.0,2,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,2.1
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,1.0,93.0,93.0,57.71,20,10,10.0,2,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,1.5,93.0,93.0,57.71,20,10,13.0,2,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.8
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,2.0,93.0,93.0,57.71,20,10,15.0,2,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,3.0,93.0,93.0,57.71,20,10,20.0,2,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,4.0,93.0,93.0,57.71,20,10,27.0,2,1.0,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,5.0,93.0,93.0,57.71,20,10,33.0,2,1.0,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.8
5,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,7.0,93.0,93.0,57.71,20,10,47.0,2,1.0,0,0.5,115.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.8
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,0.5,93.0,93.0,57.71,20,10,7.0,2,1.5,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,2.0
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,1.0,93.0,93.0,57.71,20,10,10.0,2,1.5,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,1.5,93.0,93.0,57.71,20,10,13.0,2,1.5,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,2.0,93.0,93.0,57.71,20,10,15.0,2,1.5,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,3.0,93.0,93.0,57.71,20,10,20.0,2,1.5,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.6
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,4.0,93.0,93.0,57.71,20,10,27.0,2,1.5,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.5
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,5.0,93.0,93.0,57.71,20,10,33.0,2,1.5,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
6,Beamstyle_10MC3_Intensity,11268679,0,15,10000000,7.0,93.0,93.0,57.71,20,10,47.0,2,1.5,0,0.5,115.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.7
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,0.5,93.0,93.0,57.71,20,10,8.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.9
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.0,93.0,93.0,57.71,20,10,11.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.8
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.5,93.0,93.0,57.71,20,10,14.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.7
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,2.0,93.0,93.0,57.71,20,10,17.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.7
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,3.0,93.0,93.0,57.71,20,10,22.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.7
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,4.0,93.0,93.0,57.71,20,10,27.0,0,1.0,0,0.5,75.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.8
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,5.0,93.0,93.0,57.71,20,10,33.0,0,1.0,0,0.5,75.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.9
7,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,7.0,93.0,93.0,57.71,20,10,47.0,0,1.0,0,0.5,115.0,0,2025-05-09,0,0,1.25:0.25:-1.25:0.25,0,1,-1.0,1.8
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,0.5,93.0,93.0,57.71,20,10,8.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.9
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.0,93.0,93.0,57.71,20,10,11.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.8
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.5,93.0,93.0,57.71,20,10,14.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.7
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,2.0,93.0,93.0,57.71,20,10,17.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.7
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,3.0,93.0,93.0,57.71,20,10,22.0,0,1.0,0,0.5,45.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.7
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,4.0,93.0,93.0,57.71,20,10,27.0,0,1.0,0,0.5,75.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.8
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,5.0,93.0,93.0,57.71,20,10,33.0,0,1.0,0,0.5,75.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.9
8,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,7.0,93.0,93.0,57.71,20,10,47.0,0,1.0,0,0.5,115.0,0,2025-05-09,0,0,1.33:0.17:-1.33:0.17,0,1,-1.0,1.8
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,0.5,93.0,93.0,57.71,20,10,8.0,1,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,2.1
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.0,93.0,93.0,57.71,20,10,11.0,1,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,1.5,93.0,93.0,57.71,20,10,14.0,1,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,2.0,93.0,93.0,57.71,20,10,17.0,1,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,3.0,93.0,93.0,57.71,20,10,22.0,1,1.0,0,0.5,45.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,4.0,93.0,93.0,57.71,20,10,27.0,1,1.0,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,1.9
9,Beamstyle_10MC3_Intensity,11268679,1,20,4000000,5.0,93.0,93.0,57.71,20,10,33.0,1,1.0,0,0.5,75.0,0,2025-05-09,0,0,-1,0,1,-1.0,2.0
