GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,6.0,93.0,93.0,57.71,20,10,47.0,2,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,4.4
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,8.0,93.0,93.0,57.71,20,10,60.0,2,1.5,0,0.5,115.0,0,2025-05-22,0,0,-1,0,1,0,4.6
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,10.0,93.0,93.0,57.71,20,10,68.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.6
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,12.0,93.0,93.0,57.71,20,10,72.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.6
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,16.0,93.0,93.0,57.71,20,10,77.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.6
8,Beamstyle_5C1_Intensity,11291794,0,15,4705900,20.0,93.0,93.0,57.71,20,10,80.0,2,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,4.6
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,2.0,93.0,93.0,57.71,20,10,16.0,0,1.5,0,0.5,45.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,4.1
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,4.0,93.0,93.0,57.71,20,10,31.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.8
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,6.0,93.0,93.0,57.71,20,10,47.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,4.0
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,8.0,93.0,93.0,57.71,20,10,60.0,0,1.5,0,0.5,115.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.8
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,10.0,93.0,93.0,57.71,20,10,68.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.3
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,12.0,93.0,93.0,57.71,20,10,72.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.2
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,16.0,93.0,93.0,57.71,20,10,77.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,4.1
9,Beamstyle_5C1_Intensity,11291794,1,20,1333300,20.0,93.0,93.0,57.71,20,10,80.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.8
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,2.0,93.0,93.0,57.71,20,10,16.0,1,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,4.0
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,4.0,93.0,93.0,57.71,20,10,31.0,1,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,3.8
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,6.0,93.0,93.0,57.71,20,10,47.0,1,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,3.9
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,8.0,93.0,93.0,57.71,20,10,60.0,1,1.5,0,0.5,115.0,0,2025-05-22,0,0,-1,0,1,0,3.7
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,10.0,93.0,93.0,57.71,20,10,68.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.2
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,12.0,93.0,93.0,57.71,20,10,72.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.1
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,16.0,93.0,93.0,57.71,20,10,77.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.8
10,Beamstyle_5C1_Intensity,11291794,1,20,1333300,20.0,93.0,93.0,57.71,20,10,80.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.5
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,2.0,93.0,93.0,57.71,20,10,16.0,0,1.5,0,0.5,45.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.4
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,4.0,93.0,93.0,57.71,20,10,31.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.5
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,6.0,93.0,93.0,57.71,20,10,47.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.7
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,8.0,93.0,93.0,57.71,20,10,60.0,0,1.5,0,0.5,115.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.1
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,10.0,93.0,93.0,57.71,20,10,68.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.1
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,12.0,93.0,93.0,57.71,20,10,72.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.2
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,16.0,93.0,93.0,57.71,20,10,77.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.3
11,Beamstyle_5C1_Intensity,11291794,1,20,1538500,20.0,93.0,93.0,57.71,20,10,80.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.2
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,2.0,93.0,93.0,57.71,20,10,16.0,1,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,3.2
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,4.0,93.0,93.0,57.71,20,10,31.0,1,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,2.3
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,6.0,93.0,93.0,57.71,20,10,47.0,1,1.5,0,0.5,75.0,0,2025-05-22,0,0,-1,0,1,0,2.4
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,8.0,93.0,93.0,57.71,20,10,60.0,1,1.5,0,0.5,115.0,0,2025-05-22,0,0,-1,0,1,0,1.7
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,10.0,93.0,93.0,57.71,20,10,68.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,1.8
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,12.0,93.0,93.0,57.71,20,10,72.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,1.8
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,16.0,93.0,93.0,57.71,20,10,77.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,3.0
12,Beamstyle_5C1_Intensity,11291794,1,20,1538500,20.0,93.0,93.0,57.71,20,10,80.0,1,1.5,0,0.5,135.0,0,2025-05-22,0,0,-1,0,1,0,2.9
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,2.0,93.0,93.0,57.71,20,10,16.0,0,1.5,0,0.5,45.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,4.0
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,4.0,93.0,93.0,57.71,20,10,31.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.5
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,6.0,93.0,93.0,57.71,20,10,47.0,0,1.5,0,0.5,75.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.6
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,8.0,93.0,93.0,57.71,20,10,60.0,0,1.5,0,0.5,115.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.5
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,10.0,93.0,93.0,57.71,20,10,68.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.9
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,12.0,93.0,93.0,57.71,20,10,72.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,2.8
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,16.0,93.0,93.0,57.71,20,10,77.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.5
13,Beamstyle_5C1_Intensity,11291794,1,20,1818200,20.0,93.0,93.0,57.71,20,10,80.0,0,1.5,0,0.5,135.0,0,2025-05-22,0,0,1.5:-1.5:1.25:-1.25,0,1,0,3.3
14,Beamstyle_5C1_Intensity,11291794,1,20,1818200,2.0,93.0,93.0,57.71,20,10,16.0,1,1.5,0,0.5,45.0,0,2025-05-22,0,0,-1,0,1,0,3.9
