,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,AI_param
29,B,0,0,25,2,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,75.0,4.2
30,B,0,0,25,2,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,75.0,4.1
31,B,0,0,25,2,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,115.0,4.2
32,B,0,0,27,2,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,45.0,4.9
33,B,0,0,27,2,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,45.0,4.8
34,B,0,0,27,2,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,45.0,4.8
35,B,0,0,27,2,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,45.0,4.9
36,B,0,0,27,2,3.0,39.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,45.0,4.7
37,B,0,0,27,2,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,75.0,4.2
38,B,0,0,27,2,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,75.0,4.1
39,B,0,0,27,2,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,5,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,8000000,56.04,115.0,4.2
40,B,1,1,14,1,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,45.0,4.9
41,B,1,1,14,1,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,45.0,4.8
42,B,1,1,14,1,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,45.0,4.8
43,B,1,1,14,1,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,45.0,4.9
44,B,1,1,14,1,3.0,39.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,45.0,4.9
45,B,1,1,14,1,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,75.0,4.4
46,B,1,1,14,1,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,75.0,4.5
47,B,1,1,14,1,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,6,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3333300,56.04,115.0,4.6
48,B,1,1,15,1,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,45.0,5.1
49,B,1,1,15,1,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,45.0,5.1
50,B,1,1,15,1,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,45.0,5.1
51,B,1,1,15,1,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,45.0,5.1
52,B,1,1,15,1,3.0,32.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,45.0,5.1
53,B,1,1,15,1,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,75.0,4.6
54,B,1,1,15,1,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,75.0,4.6
55,B,1,1,15,1,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,7,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3636400,56.04,115.0,4.7
56,B,1,1,16,1,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.0
57,B,1,1,16,1,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.0
58,B,1,1,16,1,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.0
59,B,1,1,16,1,2.0,24.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.1
60,B,1,1,16,1,3.0,37.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.1
61,B,1,1,16,1,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,75.0,4.6
62,B,1,1,16,1,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,75.0,4.6
63,B,1,1,16,1,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,8,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,115.0,4.7
64,B,1,1,16,1,0.5,10.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.1
65,B,1,1,16,1,1.0,21.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.1
66,B,1,1,16,1,1.5,32.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.0
67,B,1,1,16,1,2.0,44.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,5.1
68,B,1,1,16,1,3.0,57.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,45.0,4.9
69,B,1,1,16,1,4.0,60.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,75.0,4.5
70,B,1,1,16,1,6.0,64.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,75.0,4.7
71,B,1,1,16,1,8.0,66.0,1.5,1,0,0,0,-1.0,1,-1.0,1,9,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,3809500,56.04,115.0,4.7
72,B,1,1,17,1,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
73,B,1,1,17,1,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
74,B,1,1,17,1,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
75,B,1,1,17,1,2.0,24.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
76,B,1,1,17,1,3.0,37.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.1
77,B,1,1,17,1,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,75.0,4.5
78,B,1,1,17,1,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,75.0,4.6
79,B,1,1,17,1,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,10,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,115.0,4.6
80,B,1,1,17,1,0.5,10.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
81,B,1,1,17,1,1.0,21.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.1
82,B,1,1,17,1,1.5,32.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.0
83,B,1,1,17,1,2.0,44.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,5.1
84,B,1,1,17,1,3.0,57.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,45.0,4.9
85,B,1,1,17,1,4.0,60.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,75.0,4.5
86,B,1,1,17,1,6.0,64.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,75.0,4.7
87,B,1,1,17,1,8.0,66.0,1.5,1,0,0,0,-1.0,1,-1.0,1,11,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4000000,56.04,115.0,4.7
88,B,1,1,18,1,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
89,B,1,1,18,1,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,4.9
90,B,1,1,18,1,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,4.9
91,B,1,1,18,1,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
92,B,1,1,18,1,3.0,39.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
93,B,1,1,18,1,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,75.0,4.5
94,B,1,1,18,1,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,75.0,4.5
95,B,1,1,18,1,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,12,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,115.0,4.6
96,B,1,1,18,1,0.5,10.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
97,B,1,1,18,1,1.0,21.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
98,B,1,1,18,1,1.5,32.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.0
99,B,1,1,18,1,2.0,44.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,5.1
100,B,1,1,18,1,3.0,57.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,45.0,4.9
101,B,1,1,18,1,4.0,60.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,75.0,4.5
102,B,1,1,18,1,6.0,64.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,75.0,4.6
103,B,1,1,18,1,8.0,66.0,1.5,1,0,0,0,-1.0,1,-1.0,1,13,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,1,20,4210500,56.04,115.0,4.7
104,Cb,0,5,22,1,0.5,5.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,45.0,5.0
105,Cb,0,5,22,1,1.0,10.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,45.0,4.9
106,Cb,0,5,22,1,1.5,16.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,45.0,4.9
107,Cb,0,5,22,1,2.0,21.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,45.0,5.0
108,Cb,0,5,22,1,3.0,28.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,45.0,4.7
109,Cb,0,5,22,1,4.0,29.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,75.0,4.3
110,Cb,0,5,22,1,6.0,32.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,75.0,4.1
111,Cb,0,5,22,1,8.0,33.0,4.0,0,0,0,0,0.0,0,0.0,1,14,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,5,10,5333300,56.04,115.0,4.1
112,B,0,0,22,2,8.0,53.0,2.0,0,0,0,0,-1.0,1,-1.0,1,1,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_temperature,10,0,15,5333300,56.04,115.0,610.0
113,B,0,0,23,2,8.0,53.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_temperature,10,0,15,5714300,56.04,115.0,610.0
114,B,0,0,24,2,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_temperature,10,0,15,6153800,56.04,115.0,610.0
115,B,0,0,25,2,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_temperature,10,0,15,6666700,56.04,115.0,610.0
